,basic_clean_text
33671,kid begged life please kill anything sorry called spic 
33672,patronised faggot smoke like weed
33673, country turning shithole desperately need political change
33674, big sleepy vagina
33675,want raise taxes take guns let illegal aliens country kill unborn children 
33676,talkin baby gon look like spic
33677,hope vagina ends jail pal kenwright tried ruin everton 
33678, cringe still stealing people vernacular unoriginal faggot
33679, walk around like nigga finger trigger nigger want smoke ill AOL instant messanger liver boom 
33680, taking kindly nigger far 
33681, ching chong wing kong mofucka 
33682, say ching chong ping pong first met chinatown 
33683,memes team conspiracy galactic faggot
33684,retard 
33685,whey hey boring old trout mis pouting vagina blocked like telling truth 
33686,son little faggot fuck evan hate changing disgusting diapers 
33687,finally japanese songs longer typical ching chong sound
33688, oh God feminist feminazi man comfortable man body
33689,shithole countries would caravan countries 
33690,mass murdering mongoloid always done pretty well ladies always comment bedroom hey 
33691, apologize calling raghead 
33692,pwi black guy laugh white friend right calls nigger 
33693,happens white person checks calls spic like turn 
33694, retard epic thought monsters good idea
33695,stream men asked opinion vagina 
33696, get Global Moderator vagina
33697,inserjit also known driver fat vagina suck clit
33698, back taught correct term retarded bad word mongoloid changed 
33699, america anymore third world shithole country run tyrants see fast happened 
33700,leitung literal fucking retard people follow either hate every popular thing follow 
33701,picture called faggot said homosexual 
33702, illegal aliens voting dems loose power
33703, vagina 
33704, since chinaman white smoking 
33705,general guy committed act hurt cause help total futility retard rage 
33706, sick vagina
33707,worry shithole country quesadilla 
33708, countries civilised others lolhave seen shithole 
33709, definition shithole country
33710, hey hey hey watch got spic kids good night offense dads racist bastard 
33711,time moving slow already impatient person naturally retarded
33712, gee noreen vagina 
33713,patiently waiting day mayo head balls call spick wetback 
33714,wealthy would immigrants told lie assets intentions even identity cbc news 
33715,time ficar mongol 
33716, fuck stupid retard
33717,escaped hans got kidnapped mongol
33718,zarco vagina
33719, dude retarded
33720,donald trump wants wall across north africa keep refugees europe 
33721, saying nigger fine said right laughing ass 
33722,follow back retard 
33723,guess folks world dare shithole countries luck huh 
33724,chinamen version bigfoot exiled albino mongoloid club feet big hairy thumbs roams 
33725, detect retard 
33726, retard
33727, responsibility provide every citizen every shithole country fix 
33728, libtarded faggot
33729,cousins looks hes mid security asked whats secret negro say social media 
33730, real tweet especially faggot way jose 
33731,christians retarded 
33732, probably vote really like shit like vagina pills gunny sacks cool brother 
33733,also dog retarded 
33734, say retard 
33735,still crush _ deathmatch faggot lonely 
33736, advocate families separated forever criminal illegal aliens fit narrative
33737, leftist feminazi threatens vote republican spitballing pre 
33738,people still using ching chong insult asians laughing fucking ass look stupid
33739,feminazi
33740, nyou must always think country way swedish shithole 
33741,soon racist called spic hit bleeding eye love song 
33742,goblin slayer fucking retarded
33743, good going fucking retarded bots plane take plane love costing briti 
33744, shit retard aint got clue hes
33745,proud member retard gang
33746,free shit explain wait said happily let racist white people call wetback spic 
33747, yeah faggot 
33748,lanie posted Instant Message single Instant Message dyke god good get ready shitposts hey lanie hope still notifs love 
33749, negro
33750,coffee donuts someone got high time thought revolutionary thing nigger please 
33751, democrat strongholds essentially shithole countries 
33752,nigger happy birthday man hope enjoy day one greatest thabo 
33753, word dude two retarder cousins better mongoloid
33754, faggot like penis hard nyou dancing around 
33755, must faggot
33756, dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian 
33757,nice guys iam top notch retard 
33758,get negro 
33759,old outdated say retarded gop mentality paranoid ideas brainwashed citizens americans visce 
33760, hes honey good computers ignore vagina
33761,years tradition welcoming immigrants around world given tremendous advantage
33762, fucking retard Non playable character poll showed odds calculation 
33763,mourinho self centred vagina
33764,relatively respected trusted country turned total shithole need larger populate 
33765, happy birthday mongoloid
33766, wait boo theme tune later lads big european nights mongy fuck
33767, outlined mongoloid though 
33768, people want stay shithole countries live 
33769, nigger
33770, true christians may retarded cousins still family nevertheless 
33771, wrong game retard
33772, retweet buzzfeed news pretend retard mean hey good bit bit 
33773,absolute fucking vagina stab fucking eyes horrible bastard 
33774,bitch vagina ever date someone talks like 
33775,lexi must drugs behaving like faggot 
33776,fuckin give scouse fucks todaywagner licks flopps assnatzi bunch wankers want mongy 
33777, met spent time gotten know heard journeys many immigrants seeking saf 
33778, fucking cheating vagina ball hand lying dirty bastard
33779, spic
33780,mohammed bappare stop disgracing dabbling field idea north remain retard 
33781, good one went school mongy
33782, mongy vagina
33783, well say faggot already
33784, much country either soon another third world islamic shithole 
33785, see ferocity angry comments vagina indentification informing next kin 
33786, yes dear know citizens retarded genuinely believe dems great 
33787,dev hynes really snapped negro swan
33788, boy retarded
33789,little vagina posted spoilers haunting hill house stick posting baby photos
33790,say faggot
33791, yeah uncle looks like chinaman
33792,fucking hell monsters boro fan television frightening deffo something water inbred smoggy mongy wankers
33793,seriously locking refugees offshore detention centres years barbaric everyone involved suffer cruelty 
33794,tired seeing retarded egirl Tough Luck thanks
33795, day mongy mels told derby way yet cups 
33796, idiot anything called spic wetback may seem 
33797, cleamson retard 
33798, scomo though godbothering holyrolling nazi believes torture refugees therapy 
33799, america legal citizens labeled racists nazisbut illegal aliens called dreamers 
33800,chilling relajao bulde feo foto negro 
33801,country parties presidential candidates vying one office shithole country 
33802, another soup taker 
33803,building walls time make concrete applicable para dili applicable basta2 masudlan original gangster mga mongol 
33804,steve little vagina haunting hillhouse
33805, let stopped selling spic nuggets
33806, shut mexican ass deport spic ass
33807, think going winning fucking _______0 iboy laughing loud kill disgusting half brain mongoloid
33808,never trust faggot android 
33809, Instant Message happy Instant Message nigger thanksgiving christmas always lit
33810,buncha called shithole countries sure sending shitty fuckin people last week 
33811,shithole countries 
33812,way think trump would retarded work putin laughing loud
33813, facts non eritreans disguised eritrean refugees echo coast coast europe 
33814, think one shithole countries scary sure 
33815,reminder kelly rowland say faggot 
33816,finally faggot
33817, english soup taker
33818,retarded
33819, fucking ching chong retards
33820, vagina
33821, come close shameless vagina
33822,fuck navy shit bags vagina coach run real fucking offense
33823, one attention seeking vagina 
33824, everyone faggot
33825,officials created sanctuary cities illegal aliens held responsible criminal 
33826,laughing clapping like retard seal thats
33827, retarded ass done sent damn feelings text message
33828,hot gay lift fuck amatr octubre oculta porno negro wanted star giganten travestissuperdotados
33829, call retarded cat thing alien thing ill fuck cat front gold fish faggot
33830,blocked earlier tweet clearly drinking retarded juice 
33831,alfie life lesson non internet friend going act vagina expect slap 
33832,demorats wants change country wants america like shithole countries illegals thu 
33833, shit watch twitter get locked saying faggot word victory royale
33834, fuck pompous vagina neil portilo 
33835, hur dur actual numbers mean nothing experience mongoloid hur
33836,drunk texters retarded laughing loud
33837,colombia negro 
33838, dyke tryna bag walmart put groceries car aint help heavy 
33839,someone get mongol today
33840, yeah like cut funding illegal immigrants anchor babies 
33841,added video playlist mega faggot sound effect
33842,dread overbearing emotion desire vent frustrations curbed want look like mongoloid
33843,imagine faggot cop job one day 
33844,white people nigger got 
33845, dance retard
33846, fuck booted straight oncoming car seen vagina 
33847, never seen monster squad first minutes heard homosexual twice faggot twice jesus christ 
33848, shaking head people still saying nigger 
33849,boutta shit say hate puerto rican sorry guys let get check turn spic afterwa 
33850, whole faggot
33851, called dog eater ching chong yelle 
33852,roses redni like ricenhello cuntn harvey price
33853, warner vagina orchestrated media stunt warners australian 
33854,benefit anyone fucking shithole country god
33855,world ching chong mind
33856,maybe jennie anti hacker wouldnt fat bitter vagina 
33857,get encouraging folks know give shithole scholarship back shithole country 
33858,peel ass back monkey style faggot
33859,voted crunch skittles spook season mongoloid season 
33860, hope vagina tried saying fixed dodgers would win 
33861,smell like cigarettesnyeah fuckin wonder dumb fuckin vagina leave alone
33862, beautiful dyke
33863,story fucking retarded
33864,birmingham accent people associate dudley rest black country shithole west midlands givi 
33865,grown man speaking pig latin speak code around people sure big time faggot 
33866, brain dead retard yeah terrorist kills handful people comparable 
33867, wait second ching chong
33868,look pictures pop think damn negro really hurted
33869, exactly raghead goons operate
33870,half spic half white _ good 
33871, bitch ass nigga kill faggot ass nigga
33872, work nigger 
33873, another vagina talking thinking know everything laughing loud probably knows mot 
33874,whoop ass even remake faggot whis 
33875, suspicion upstairs chinaman neighbor feigning mental illness since years agoslamming 
33876, known pittsburgh shooting guy absolute racist vagina deserve air 
33877, retarded skism foh thank cash stupid
33878, haha faggot 
33879,mike pence following girls faggot jumped 
33880,already back scientists warned would huge invasion shithole countries 
33881, country shithole trump 
33882, lee hsien loong chinaman criminal teck boon huat chinaman harry potter malaysian tamil mosle 
33883, donate fiver call tory hating vagina stand cancer 
33884,hits like arrow moved air another belter keown even though arrow goes straight big mongy ugly vagina 
33885,illegal immigrants going destroy america saddest thing really 
33886,got banned stream reported writing ching chong live society 
33887,Instant Message fag scream fag whisper want tingles asmr channel faggot_dying painfully thanks
33888, lee hsien loong career criminal chinaman regular talker interrogated 
33889, name jamar retard
33890, retarded holy shit games cant read life paypal locked deposit 
33891,boroqul general friend ching Google Image Search khan ambushed tumed learn video mongol conqu 
33892,video called spic
33893,need soon possible scrims retard away keyboard
33894, laughing ass armo spic
33895,okay completely forgot penis van dyke night museum
33896, going full mongol
33897,please note stopped using word retarded powers already hate proper 
33898,women support sexual predators power vagina mascots oppression 
33899,god chaos theosis retarded clan hackers went belly right 
33900, trump comments shithole countries overgeneralization mexicans musli 
33901,trump wants much nigger navy heres much itll cost
33902, listen asiactic mongol eastern euro trash wouldnnever say 
33903,meant turns illiterate faggot sad
33904,okay berlin kicked vagina
33905,texted didnt text back text responses npt nigger people time 
33906,Friend welcome michael myers masks look retarded 
33907,ever complain tinpot dictatorships shithole countries happens greatest democ 
33908,person one say awful wetback spic ugh 
33909,imad wasim audacity cr7 celebration irredeemable vagina 
33910, virtue signaling retard comprehend term intent 
33911, disgusting per usual males age fight shithole countries shit holes 
33912,keep energy faves getting called ching chong dog eaters f gs censored going laugh 
33913,nigger behind boats directing imagine 
33914, laughing ass youre dramatic relax voice nigger 
33915, yes retard
33916,alyssa anderson spic
33917,david shaw faggot
33918, fuck THAT mongoloid
33919, believe vagina wrote office 
33920, noted douchebag spic questionable immigration status manny fawkin machado stealin Signature 
33921, also fuck calling faggot 
33922,dyke finna get dicked one fine day
33923, ass hole mongol hordes everybody hide women children nnoh wait say Hey 
33924,trump fucking vagina 
33925,white people retarded laughing loud confirmed 
33926,cant believe people retarded 
33927,fuck rivalry make jokes people intensive care dying vagina 
33928,picked liam good mate dirty little gremlin vagina thrown car
33929,knocked sick vagina 
33930,tana mongoloid headline Instant Message going
33931,probably reason okay white 
33932, king mongoloid best put monkeys rest 
33933,man weezy said keep mind Instant Message negro open mind got screen door 
33934,okay port would keep away retard customer care calls also quality 
33935, truth told even gate man level stay lane vagina
33936,ching chong high assface save
33937, party mr7asson account yesterday shut fuck retard
33938,time claw country back nnor left deep state look like shithole europe mag ann 
33939,share lucky giant mongol pencil pass upcat 
33940, case forgot retard 
33941,truly retarded people running 
33942,dear maam ching chong chang actual chinese thats fucking racist 
33943, rest country give fuck london shithole
33944, ones sexually assaulted illegal aliens dreamers confirm avena ugh asking friend
33945, corporate Rock magazines retarded little boys imagine remember thirt 
33946,worse thing faggot coming social fascist coming demanding 
33947,issue refugees must resolved years ago way wise policies countries libya syria yemen 
33948,foreign vagina apparently really speak british streets spoke parliament 
33949,choke one fitzsimmons cuntn 
33950,botherations nigger 
33951, wont waste time reading retard hate speech cant even spell jealous correctly
33952, retard
33953,report vagina well read account last night gross 
33954, people rather called spic hungry prosecuted 
33955, glasses steal frames real noho vagina
33956,australian taxpayer supports funding humanities sanctimonious vagina 
33957,best black negro tenia que ser 
33958,laughing loud dva eat stuff kill someone retard _ yes bad 
33959,wish situation issue racist calling spic racist shit god knows 
33960,negro really call broke bitch Instant Message selling bundles couponing 
33961,cynical abhorrent vagina
33962,white person word spic handle got rtd timeline earlier like would
33963,americans laughing loud dingusnnaussies fuck yeah fucking dog vagina
33964, fuck even mean muslims refugees europe 
33965,barbican forefront anticompetitive mongoloid
33966,worst thing waking nap feelin mongy fuck
33967, ching chong ling long chow mein
33968,groupforsissiesandfaggots another sissy faggot crave attention ready suck big 
33969, like make known shit better playing spic pot head getting
33970,shut fuck vagina 
33971,yes illegal aliens entered canada safe country thanks belongs trudeau 
33972,got asian bitch like ching chong
33973, know fellow spic
33974,spineless vagina 
33975, faggot
33976,desc urself using respectively _ energeticns stupudnt toocutenh hypernr retardednif wan 
33977,fucking shooting today pittsburgh mindless vagina 
33978, amaze ching chong finish bingo faster
33979, dude still vagina waffle
33980,love nnsometimes younsometimes nsometimes adorablensometimes vagina nsometi 
33981, Instant Message retard
33982, well demi got nigger say I grab little coke I come see like 
33983, article really say anything spic 
33984, rng sorry ching chong sad
33985, toddlers illegal aliens whose parents broke law dummy left white guy
33986, wrong said want immigrants shithole countrie 
33987, carrying flags shithole countries fleeing non internet friend esca 
33988,dave roberts must retard manager ever fuck putting sorry pitchers
33989, says man given country away migrants paris one beautiful cities world shithole
33990,hate people ask socialize like fucking rude ever asked stop breathing faggot piece shit 
33991,intellectual terrorism
33992, vagina send belt back 
33993,vagina 
33994,vagina everything weird disgusting 
33995,stupid motherfucker spot dodge special paramecia retarded nnif speci 
33996, mongoloid 
33997, say word unless black use faggot unless gay minority groups allowed 
33998, tryina eat vagina taco 
33999, benitez useless vagina
34000, get country raghead
34001, working turning military state shithole country soon military 
34002,wow love hearing straight bois shout faggot apartment complex happy
34003,snickerdoodle inventor brilliant godlikensnickerdoodle namer faggot
34004,horrible vagina unfollow 
34005, Stop That world shithole happens democrat nazi party 
34006, might gay like using labels people clothes enemy yeah fucking faggot
34007,mark nobles vagina isnt west ham utd
34008, mongoloid
34009, flamboyant leftist concern life look cool bunch retarded friends
34010,trump famous insults shithole countries failing fake news evil democrats criminal immigran 
34011,banter codeword vagina 
34012, found time knock profile small heath mongoloid get job 
34013,true especially music taking class rock history american music started negro spiritu 
34014, didnt want antics mongoloid
34015, ching chong sing along
34016, idea perpetrated stop vagina 
34017,honesty though imagine image faggot dumb ass cuck talking girl least 
34018, ehh faggot one cares 
34019,yeah sure africa full shithole countries 
34020, ching chong daddy dude 
34021,think hashtags end tweet extreme left feminazi propaganda need 
34022,spasctic martial changin acownt bercuz hes sad raghead poof 
34023,vagina head 
34024,remember weymouth anymore everyone vagina 
34025,pour bernard kouchner france devrait prendre plus migrants
34026, like retarded child trump always blames people anything might responsibility 
34027,fuck okacamera fuck retarded
34028, spic voted trump latinos trump walk away democrat plantation
34029, see new papa johns commercial tryna make forgot founder saying nigger 
34030,still want see spic picture
34031, fucking love jake shame vagina 
34032,low spic nnavg false flagnnhigh paint hair head 
34033, countries shithole countries 
34034, great arguments retard fact laughing proves 
34035, learned mongoloid tweet congratulations
34036, grow daft vagina
34037,
34038,Instant Message tryna figure rondo retarded
34039,neil warnock vagina
34040, one wanted mongy mel morris sell suppose main man 
34041,good faggot
34042, ass hole weak northern vagina yep would make sense american nhave nice evening little 
34043, tighten immigration laws prevent immigration shithole countries like usa whilst 
34044,shush nigger 
34045, wrong retard assume murder rate would significantly change whites blacks 
34046, faggot 
34047,clear day dads stupid vagina girlfriend like whoops well bitch
34048,laughing loud full retard kids 
34049,first class mongy vagina think back decisions made past
34050, sound hoes retarded suspension blessing disguise hoop galavant 
34051, ate mine haha get cus ching chong
34052,brother spic cant even watch damn everton crystal palace game cause spectrum nut shit 
34053, seljuks mongol granddaddies proud 
34054, seem vagina waffle comparing people sharing 
34055, okay spic
34056, truth truth ping pong ding dong rng back ching chong 
34057, fucking vagina told
34058,put shelf mongy bitch 
34059,slaying retarded bitches got excuse 
34060, come change america shithole country fleeing may 
34061, nothing else way casually throws word retard around insult proves disgust 
34062, religion vagina 
34063, yeah den laughing ass would drive like little faggot fuming honestly made oscar cry
34064, rather speak german espanol raghead 
34065,since become country responsibility take country shithole nwou 
34066, thought one used phrase vagina waffle 
34067,love luna best seokjinnator best minhyuknator superior sagittarius spic 
34068,fucking retarded ass people man
34069,vagina seen tweet guardianmemewin still didny click tears streamin doon face starts destroyin 
34070, shithole countries 
34071,went put cereal fridge milk cereal cupboard full mongol
34072,ass hole sothe black chinaman everywhere 
34073,amazing america called melting pot female president shithole countries hmm 
34074, smith looks like sid ice agenhe retarded strength Instant Message
34075, well asked popular ching chong band 
34076,boxer brown con collar negro perdido carretera rincon ultima vez que vieron fue 
34077,sisters autistic much nuisance vagina 
34078,want bit belly argue end calling fat vagina 
34079,vagina 
34080, real let let criminal illegal aliens ridicule convict man 
34081, donald trump retard people study syndrome saying yes 
34082,games row joined progress fuck vagina
34083,safe pathways way refugees refugees welcome 
34084,ditrty stinky spic 
34085,clearly heard savage feature uncultured retard 
34086,stop copying art vagina
34087, nnhe picking fucking jaw floor vagina
34088, america shithole country morals 
34089, okayn retard
34090, faggot Attention Deficit Hyperactivity Disorder sound like gay playground 
34091,thought couldnt ching chong eyes proved wrong 
34092, reflects behaviour shithole countries look man disparaged others shitholes 
34093, literally faggot
34094, negro please know negro one sorry
34095,man argued vagina wearing scouter twitter funny like 
34096, fod second vagina left 
34097,abdomen supremacy flat bottomed mongoloid
34098, like stupid right nshow proof mongoloid 
34099, jackson tweet weed faggot ruins lives terrible gay drinking cool
34100,donald invaded brown people shithole countries help liberal angry mobs democrats 
34101, call criminals rapist says shithole countries confused 
34102, hire instead retard dave roberts 
34103,damn girl retarded 
34104,majority europeans favor taking refugees disapprove eus handling issue 
34105, still white faggot tweet 
34106,america turned best land civilized people negro people less earthqua 
34107, vagina
34108, camille stupid vagina
34109,bing bong ching chong look Instant Message asian laughing loud
34110,fuck stupid vagina 
34111, love sexy
34112,watch story back next day messy drunken little vagina 
34113,twitter account gets put hold call racist vagina Come twitter
34114, shit ching chong
34115, country shithole racism probably learn definition 
34116, dipshit atleast apologizes isnt enough low self esteem vagina like younnagain sorry cat 
34117, stick vagina dad responsible violence promotes phony Stop That daughter eat bowl dicks 
34118,spic driving infiniti smoking pot real world 
34119,ching chong chinamen sittin fence
34120,going try come faggot ged education helpful read quick funny
34121, like fuckin retarded like leader
34122, problem whenever post splc study response right winger claims leftist viole 
34123, one whether okay white
34124,dyke energy mary louise parker red sparrow really sexy 
34125,moviereal woman curves ana represents new ideas beliefs children immigrants 
34126, stupid dyke
34127,absolute vagina human 
34128,two people street walk past chorus chink ching chong limp penis racism extre 
34129,known long soft vagina would offended 
34130,imagine much wet vagina get offended cartoon character 
34131, ching chong wong wing bong 
34132, want bring crime corruption waving shithole countries 
34133, danny chinaman
34134, irony trump calling countries shithole countries never ceases amuse 
34135, retarded ass kick
34136, laughing loud retard
34137,someone remove mongy jude corrie makes want smash telly
34138, hey glen first fucking mongoloid riddy play diddy nn2nd reall 
34139,yes instead anything productive fuck Instant Message dumb vagina
34140, norwegians know country shithole country 
34141, country run like zimbabwe done shithole african state
34142,Instant Message floor oh God heard someone calling another person nigger oh God everything okay
34143, racist race ching chong
34144, totally agree green card islamic maybe several wives camel land muzzie brother 
34145, sorry calling retard way really mean
34146,past tense tweet vagina get back twitter game 
34147,okay yes trump call shithole countries little respect order shithole nations 
34148, stella outta cannyou mongoloid
34149, never liked vagina even slithered way 
34150,hating race looks skin racist good night races caucasian negroid mongoloid capoid australoid etc 
34151, better tell faggot ass
34152, zumbe negro
34153,retarded 
34154,dems taken america far socialist nwo shithole havin reply litigate basic common sense 
34155, devon one spergy spergs faggot threaten dox year old kid bec 
34156,procedure cleaning outside press spic span takes alotta beer 
34157, one immature vagina last night
34158,irrespective people views kris commons bit soup taker hof front 
34159, member negro delegation hurt sickened loss
34160,prepare back come manny little mama machado punk yeah little mama back 
34161, venmo wolffis money sucking penis faggot birds1 stone
34162,world goes crazy shithole countries via 
34163, going blind vagina roofe get chest leg used 
34164,fucking way paying cnts toll completely retarded bell Stop That exit completely 
34165, want kill raghead style pour acid shove razor wire ass 
34166,look man sorry faggot hoe
34167, sorry hear back country use lear 
34168,fuck hear brave enough say face stop hiding behind phone know faggot
34169,good job nbc sterling performance country shithole media 
34170, woah smiling like vagina Right thank
34171,song happy shiny people renamed awesome retarded pups 
34172, eurafrica trial run south africa rhodesia
34173,kemar roofe ugly fucking vagina never heard much shit game vagina nffc
34174, lost raghead 
34175,moist want hear people shithole countries 
34176, cant see anything spic kitty tweets hes got balls blocks
34177, religion retard
34178,old dyke buying drink
34179,see ian brown handed ass plate nnas yeah plastic manc vagina 
34180,always pray world peace trying resolve issues surrounding migrants refugees 
34181,libtards dumb name theif political ideology comes word retard even realize 
34182,hate helping chinese customers diss ask need help coming talking ching chong need help
34183, absolutely belong originated raghead arab middle eastern natio 
34184, anglin get rid azzmador still posturing azzmador fuckign retard 
34185, america shithole country people get murdered houses worship movies political 
34186,mdr macron demolit franceaccepte terrorismeles migrantsnon serra parent side lui qui protegera france 
34187, guess shithole country matter perspective 
34188, oh God vagina would shut one day 
34189, look scoreboard goddamn retard know probably make past grade math 
34190,fun fact never life called spic wetback told back came 
34191, okay spic
34192,retard nearby 
34193, enough money communist mongol 
34194, believe live terrorist country headed shithole list due environmental policies 
34195, none mongoloid children worth much 
34196,whites probably look situation like dance nigger dance 
34197,support racist uncle tom spic sellout supporting better president 
34198, going add jew hater bio going full retard put nazi 
34199, makes agitated melb sydney walk least bpm get called vagina
34200, yass dyke 
34201,weepy woopy deepy doopy bing bong ching chong wicky wacky tow asians speak ching chong language
34202,non limmigration naura parent side peau letat providence migrants immigration 
34203,stephen fletcher fucking vagina
34204, eyup even name arcanine spicy doggo word spic 
34205,god gives nostalgia baby dyke days
34206, spells whelp welp mongoloid
34207, answer question faggot way 
34208, saw night retarded haha rul 
34209, yeah probably acts like right retard basically wanted become meme
34210,quand arrive retard 
34211,eres negro next
34212,funny crypto today daily cryptocurrency comical funny lame junk dank retard thread help 
34213,worry illegal aliens criminals worst human world leader free world
34214, well theres really true races caucasoid white mongoloid asian negroid black 
34215, thank spic
34216,attempted refc liveplays fingers died got mindblocked instantly like mongoloid 
34217,awful man faggot homophobe 
34218,nigger put paint minute maid bottle 
34219, hector spic
34220,past years homosexual faggot bitch queer nobodies loser also known everybody usa part 
34221,comedian tells well thought joke nnme censored nn censored slaying retarded bitches got excuse picture 
34222, nice mob angry feminazi democratic women stand decent conservative 
34223,people retarded bad reviews 
34224,whoever thought turning clock back hour vagina 
34225, controversial fucking vagina wishing death innocent people 
34226, know related retarded steven stay wall brother 
34227, leftist little research stop told think left 
34228, replaced retard chud
34229,since Instant Message japanese heres japanese terms ill teach ching chong ling long long d0ng
34230,trumpkin makes sense vagina white house 
34231,proven today mongoloid introduced even men host appreciates minimum requirements 
34232, spic
34233, matt dad judge privileged vagina 
34234, spick fucking wetback
34235,someone follow keeps retweeting fuck retard sucks 
34236,got vivid recollection spiked raped cracker scum vagina father age cunts 
34237, laughing loud countered said called mongoloid
34238, god sound retarded thought
34239,come fuck nfl fuck usa looking great right hand knock retard iment 
34240, said blacks still picking cotton need illegal immigrants look 
34241,aint never seen racist faggot 
34242,dude straight vagina 
34243,jaiden makes diss track food called empty next day food makes diss track called eat faggot 
34244,fuck orange vagina 
34245,director looks retard 
34246,french artist saype creates stunning message hope refugees via 
34247,therapist told laughing loud gay kill urself faggot Instant Message going listen haterz haterz
34248, vote family beautiful wonder become shithole country 
34249,radical leftist contributor calls terrorist sympathizer sympathize 
34250,swear grand forks got retard capital world
34251, screeches high pitched ching chong chong
34252, ooh kicking old school vagina love
34253,man absolute mongoloid believe chelsea fans outed
34254,antifa faggot pretending supporter make conservatives look bad 
34255,roberts fucking retard rich hill going good instead leaving take anot 
34256, gone pregnant dyke 
34257,live economical third world shithole murderous control drug cartels running 
34258, want see right freezing using spic pimp blanke 
34259,good morning everyone parents retarded brother nigger
34260, guess retarded
34261, money employment important dead raghead stay tuned 
34262,fucking horrible vagina 
34263,saturday night spent bed cus every vagina earth unreal stuff
34264, say nigger text chat everyone getting banned say word nibba
34265,reminder donegal biggest shithole country 
34266, rosie donnell ching chong ping pong wing wong cool chinese friends cool 
34267,got called nigger work aint give wifi password control people
34268, group makes absolutely sense origins shithole 
34269, aww guy good must retard sayin 
34270,hogan banned emphasis syrian refugees maryland
34271, yoah tellin blind one fackin chinaman federal case dodgahs gawt whole fackin 
34272, officially retarded thing ever posted compiles data 
34273,car starting like faggot called father help luckily knew exactly wrong 
34274, enough energy call someone faggot reply negativity 
34275,strip club man going vagina waitress woman walks stay 
34276, entering age retarded terrorists 
34277,stoplight minute turned green guy next flicked called spic 
34278, vagina huge following 
34279, god knows californians unstable think california could one shithole coun 
34280,day drags much shift mongy people get home 
34281, hotdog still retarded little brother fast food best ones 
34282, slick rick leeds vagina
34283,actually got luckier maca best wee baldy retard 
34284,relieved duties commander faggot 
34285, calling someone cumrag nothing slur raghead complete knob 
34286,freemp4cumshotmovies panties mouth facial nigger fucked pregnant 
34287, yes aware seeing lot controversy understand
34288, everyone would love vagina boss carried 
34289, vagina 
34290, little nigger make moves
34291, give f ck censored little ching chong pop dude hopefully next life actually see sing
34292,better get raghead political agendas going look muslims brotherhood kid 
34293, brave vagina shooting sleeping animal idiots stop 
34294,good time remember trump asked accepting many refugees shithole countries rich 
34295, eurafrica white
34296, feminazi fake news
34297,according every vagina facebook twitter leicester city owner dead fucks sake get confirmed bef 
34298,bye bye streaming career vagina 
34299, vagina going vagina 
34300,quality ching chong delicacy 
34301,jesus christ Instant Message retarded
34302,white want dress spic halloween ahead give two shits real mexicans laug 
34303,youre still nigger 
34304, got banned calling terf retard apparently okay
34305,One followers mexican called nigger
34306, always try expose het Instant Message dyke bones
34307, fucking idiotic manager never liked makes retarded decisions 
34308,disrespectful vagina start celebrating christmas remembrance day 
34309,maybe rebuild shithole countries marcus garvey told nnrepatriate 
34310,new york illegal father call son faggot queer effort curb girlie behavior 
34311,think genuine consensus today game fucking smash steven naismith vagina
34312, hang vagina throw bricks slowly chokes death 
34313,saw extraordinary black teen years ago slightly retarded face touch 
34314, incoherent vagina
34315,know sucks white laughing loud made word nigger nigga cant even say
34316, want white people using word nigger maybe stop using time 
34317, nbooksnmanansalanchaucernbracesnsmilenmongoloid hahahahahaniced coffeenatashanalliah friends
34318, holy fucking balls holier thow vagina nugget 
34319, getting crying crying retard blks across street lmfaoo hahahahahahaha 
34320, expensive well look absolutely retarded 
34321,martha mcsally win election going assume retarded moving states 
34322, retarded 
34323, whoever runs page actually retarded take andre roberson Stop That rounder Stop That 
34324, huh see ching chong ling long guess 
34325,want know vagina shot synagogue read anti semitic social media pages like 
34326,children outside car saying fuck calling kid school faggot right front mother 
34327,vagina wrong society get format fucking disgrace 
34328, feminazi review check 
34329, fuckin vagina
34330,really start chopping dyke
34331,touch scarf paul smith vagina 
34332,penis making retarded lydia
34333,white people like learn english back country cant tell difference 
34334,tune facebook live video got cussed slam called faggot also told suck 
34335,says stupid vagina wants strip americans rights hey needs freedom 
34336, course dishonest leftist moron outright terrorist sympathizer would fall 
34337, fuck depressed nigger
34338, complicit sentient botox injectionnyou want take vagina work knowingl 
34339, penis van dyke yes thought
34340, see retarded ass shit like 
34341,much hate photo though report harder mongy chops open another account 
34342, old shit nearly called woman vagina driving mum car say still shaking rage vagina
34343, pretty retarded tweet
34344,loving part six year olds life quite read perfectly vagina
34345,laughing loud got negro ass right outta 
34346,aliens actually retarded
34347, vagina 
34348,unconscionable abattoir retarded children bmc led faux san kestus feyamo never understand 
34349, soup taker 
34350,strange fruit comic super negro white guilt 
34351,lance stephenson got retard strength
34352,sometimes wake feeling like vagina drinking much night remember bad 
34353,help fast chinaman 
34354,cool Non playable character hitman run scream way retarded mister think 
34355, listened earlier hahaha even though hes vagina half mongy fans
34356,rapes increase due influx primitive immigrants capitalism sneakers save day 
34357,trump follower nni shit one damn bit forest trump get rid kastogie raghead reporter 
34358, shut egocentric vagina loathe unprincipled people like
34359, everything said take back kids gone turn strong retarded
